Sender_account,Date,Time,Amount,anomaly_score,fraud_probability,Is_laundering,Receiver_account,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location
7937917609,07-10-2022,11:54:44,4699.96,0.007771971,0.013205792,0,2485355071,UK pounds,UK pounds,UK,UK
ACC445832,28-12-2023,20:24:12,2451.334863,0.639443576,0.9954856,1,ACC135322,UK pounds,US dollar,Japan,UK
3241181026,07-10-2022,11:42:35,1389.33,0.008131284,0.012137755,0,6494203450,UK pounds,UK pounds,UK,UK
ACC162536,10-02-2023,18:58:07,4994.506709,0.46386277,0.99495643,1,ACC888323,UK pounds,Indian rupee,UK,USA
8952177221,07-10-2022,13:53:29,8008.48,0.002816053,0.0051613,0,4447848214,UK pounds,UK pounds,UK,UK
7758268667,07-10-2022,11:15:13,26492,0.022968698,0.004463604,0,7889074144,UK pounds,UK pounds,UK,UK
ACC339320,05-10-2023,16:43:01,7892.760615,0.209102139,0.9955735,1,ACC614941,UK pounds,Indian rupee,UK,UK
ACC195657,24-08-2023,19:10:03,-2149.849295,0.293271107,0.99463636,1,ACC528295,UK pounds,UK pounds,UK,UK
ACC374193,26-10-2023,18:17:51,7969.41935,0.296738679,0.9958942,1,ACC266168,UK pounds,UK pounds,UK,UK
ACC338151,29-12-2022,01:29:32,6130.689513,0.416289905,0.9947232,1,ACC415601,UK pounds,US dollar,UK,Nigeria
ACC577626,24-04-2022,09:18:40,-6134.232584,0.563943506,0.98371696,1,ACC166756,Yen,UK pounds,UK,India
ACC194943,16-02-2023,23:26:38,-3107.300778,0.677049216,0.99548125,1,ACC462463,UK pounds,UK pounds,Japan,USA
ACC885983,31-01-2023,11:45:00,16621.27747,0.585415456,0.9957331,1,ACC440257,UK pounds,UK pounds,UK,UK
ACC656476,13-05-2022,14:05:06,-3854.752016,0.11529841,0.9960238,1,ACC380748,UK pounds,UK pounds,UK,UK
51167102,07-10-2022,12:39:15,2787.91,0.009151319,0.00599221,0,9611218127,UK pounds,UK pounds,UK,UK
675669049,07-10-2022,11:15:51,7312.72,0.014505589,0.005638443,0,4348868412,UK pounds,UK pounds,UK,UK
7258656047,07-10-2022,15:38:03,10228.12,0.013463854,0.004658967,0,1377603863,UK pounds,UK pounds,UK,UK
6726011110,07-10-2022,10:48:58,2998.96,0.017108133,0.011766742,0,9509095598,UK pounds,UK pounds,UK,UK
ACC911194,27-03-2023,09:17:28,7622.105439,0.438983458,0.99567395,1,ACC591733,UK pounds,UK pounds,UK,USA
1359170155,07-10-2022,14:37:17,7901.96,0.008923005,0.016609393,0,3291329620,UK pounds,UK pounds,UK,UK
9337018014,07-10-2022,12:31:26,7786.97,0.013521571,0.004462909,0,3079818547,UK pounds,UK pounds,UK,UK
8405704414,07-10-2022,13:42:54,4595.02,0.008429292,0.016622499,0,6137362886,UK pounds,UK pounds,UK,UK
9077332834,07-10-2022,15:27:11,1087.46,0.013884705,0.006677709,0,9694660801,UK pounds,UK pounds,UK,UK
7700588772,07-10-2022,11:55:08,6549.81,0.013834717,0.004462909,0,9105769228,UK pounds,UK pounds,UK,UK
5894944078,07-10-2022,12:51:01,5264.91,0.012271212,0.005480233,0,6809988965,UK pounds,UK pounds,UK,UK
6606414227,07-10-2022,13:56:28,4806.57,0.016346832,0.013903528,0,3266531987,UK pounds,UK pounds,UK,UK
ACC467777,04-04-2022,04:16:43,14090.00565,0.19748538,0.9957416,1,ACC461887,UK pounds,UK pounds,UK,USA
2056215656,07-10-2022,15:35:52,3435.56,0.022165038,0.005356255,0,4183747352,UK pounds,UK pounds,UK,UK
ACC604677,18-03-2022,02:53:07,5759.676514,0.339500738,0.9949114,1,ACC670160,UK pounds,UK pounds,UK,USA
9941194188,07-10-2022,12:48:19,20734.14,0.030787892,0.005451301,0,8518184956,UK pounds,UK pounds,UK,UK
4233653992,07-10-2022,11:19:56,325.21,0.016550161,0.009890963,0,2224626267,UK pounds,UK pounds,UK,UK
3168071582,07-10-2022,12:22:52,40496.54,0.02709478,0.010374426,0,9958510480,UK pounds,UK pounds,UK,UK
5027448664,07-10-2022,12:47:47,7283.77,0.003244321,0.015868854,0,393509754,UK pounds,UK pounds,UK,UK
756820945,07-10-2022,14:25:36,335.68,0.004285075,0.02245608,0,5484763398,UK pounds,UK pounds,UK,UK
ACC477078,01-03-2022,18:27:47,2341.556921,0.237842264,0.9950127,1,ACC877581,UK pounds,Naira,UK,UK
ACC427350,22-06-2022,00:46:54,5663.082541,0.340458794,0.9950127,1,ACC553707,UK pounds,Naira,UK,UK
8728810272,07-10-2022,16:30:06,387.17,0.022735631,0.036957838,0,1710473934,UK pounds,UK pounds,UK,UK
6176317543,07-10-2022,11:39:34,1179.65,0.006349577,0.016609393,0,8241405397,UK pounds,UK pounds,UK,UK
ACC327838,19-06-2022,22:08:38,-1610.288763,0.176849686,0.9927443,1,ACC950118,UK pounds,UK pounds,UK,UK
9557745132,07-10-2022,16:34:16,622.21,0.039357235,0.014828688,0,4122541032,UK pounds,UK pounds,UK,UK
ACC669608,03-04-2022,13:50:01,1989.483698,0.178946024,0.9950127,1,ACC845558,UK pounds,Naira,UK,UK
ACC684127,12-09-2023,17:51:49,-5850.580483,0.187654781,0.9958942,1,ACC579666,UK pounds,UK pounds,UK,UK
8405472205,07-10-2022,10:43:11,4294.42,0.017760222,0.005125091,0,8184833329,UK pounds,UK pounds,UK,UK
1915450576,07-10-2022,11:49:59,5215.15,0.026771669,0.004463604,0,1020934931,UK pounds,UK pounds,UK,UK
7239180502,07-10-2022,14:07:55,7050.22,0.013732842,0.004802258,0,8673917867,UK pounds,UK pounds,UK,UK
ACC476990,13-09-2022,14:29:38,11116.07756,0.137076649,0.9945891,1,ACC566710,UK pounds,Indian rupee,UK,Nigeria
ACC845780,31-01-2023,06:46:17,4932.982203,0.59747808,0.99574584,1,ACC274575,UK pounds,UK pounds,UK,Nigeria
ACC912558,09-08-2023,02:29:46,19413.94497,0.258184094,0.9958942,1,ACC909957,UK pounds,UK pounds,UK,UK
4004929488,07-10-2022,11:52:32,355.69,0.007889485,0.006677709,0,7248277483,UK pounds,UK pounds,UK,UK
286686191,07-10-2022,14:19:47,744.93,0.011574179,0.005125091,0,1781214438,UK pounds,UK pounds,UK,UK
5906035370,07-10-2022,11:42:01,12810.38,0.019258596,0.004802258,0,5363117119,UK pounds,UK pounds,UK,UK
6086421020,07-10-2022,15:36:00,5735.63,0.013076931,0.005646099,0,7909637145,UK pounds,UK pounds,UK,UK
8389148416,07-10-2022,13:50:54,5957.03,0.015057002,0.005240316,0,7417876118,UK pounds,UK pounds,UK,UK
5027255141,07-10-2022,13:06:57,6267.26,0.011347917,0.004802258,0,4270865741,UK pounds,UK pounds,UK,UK
4296523934,07-10-2022,15:36:20,13296.49,0.025407716,0.027031178,0,2625203160,UK pounds,UK pounds,UK,UK
1382495057,07-10-2022,12:18:10,33973.78,0.084486332,0.013973641,0,1963292234,Moroccan dirham,UK pounds,Morocco,UK
5907668433,07-10-2022,13:10:41,1260.11,0.01455885,0.020079654,0,8482785849,UK pounds,UK pounds,UK,UK
7924551009,07-10-2022,11:59:35,15893.04,0.012170619,0.004463604,0,7199625988,UK pounds,UK pounds,UK,UK
ACC823747,28-10-2022,11:12:45,4895.077553,0.327183856,0.9417422,1,ACC145317,Yen,UK pounds,UK,USA
1376796548,07-10-2022,13:25:45,8224.88,0.008217592,0.004462909,0,6444220418,UK pounds,UK pounds,UK,UK
1706196950,07-10-2022,13:28:33,4914.25,0.007301397,0.004462909,0,3695545812,UK pounds,UK pounds,UK,UK
8952177221,07-10-2022,13:21:34,7392.75,0.009622627,0.004463604,0,4269977194,UK pounds,UK pounds,UK,UK
4335622850,07-10-2022,13:21:40,304.63,0.020638019,0.03001287,0,5877285590,UK pounds,UK pounds,UK,UK
ACC506756,24-01-2023,12:49:03,-4940.832297,0.781608473,0.9792355,1,ACC215403,UK pounds,UK pounds,Japan,USA
